state,court,ai_type,applies_to,source,rg_applicable_to,consequence,date,id,judge,link,name,req_certify_all,req_certify_if_ai,req_disclose,req_evidence,req_how,req_prohibited,req_prompts,req_proprietary,req_rules,req_sections,req_tool,req_verify,req_warning,summary,type
New York,N.Y. Integrated Domestic Violence Ct.,Any AI,"Attorneys,Pro Se Litigants",rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-02,55,Judge Tandra L. Dawson,https://www.ropesgray.com/en/sites/artificial-intelligence-court-order-tracker/states/new-york,Rules of Court Integrated Domestic Violence Court,,checked,Yes,,,,,,,,,,,,Standing Order
California,N.D. Cal.,Gen AI,Attorneys,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-02,56,Judge Rita F. Lin,https://www.cand.uscourts.gov/wp-content/uploads/2023/03/2024-09-18-Civil-Standing-Order.pdf,Standing Order for Civil Cases Before Judge Rita F. Lin,,,,,,,,,,,,,checked,,Standing Order
New York,"N.Y. Sup. Ct., Chautauqua Cnty.",Gen AI,Any Parties,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-02,57,Judge Grace M. Hanlon,https://www.ropesgray.com/en/sites/artificial-intelligence-court-order-tracker/states/new-york,Courtroom rules 2-23-24,,checked,Yes,,,,,,,,,,,,Standing Order
New York,"N.Y. Sup. Ct., Orange Cnty.",Any AI,"Attorneys,Pro Se Litigants",rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-02,58,Judge David S. Zuckerman,https://www.ropesgray.com/en/sites/artificial-intelligence-court-order-tracker/states/new-york,Part Rules: V. Artificial Intelligence,,,Yes,,,,,,,checked,,,,,Standing Order
,,Gen AI,Attorneys,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-02,59,Law Society of Saskatchewan,https://www.lawsociety.sk.ca/wp-content/uploads/Law-Society-of-Saskatchewan-Generative-Artificial-Intelligence-Guidelines.pdf,Guidelines for the Use of Generative Artificial Intelligence in the Practice of Law,,,,,,,,,,,,,checked,,Administrative Order
California,C.D. Cal.,Gen AI,Any Parties,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-03,60,"Judge Stanley Blumenfeld, Jr.",https://www.cacd.uscourts.gov/honorable-stanley-blumenfeld-jr,"Standing Order for Civil Cases Assigned to Judge Stanley Blumenfeld, Jr.",,checked,Yes,,,,,,FRCP 11,,,,,,Standing Order
Ohio,"Ct. Common Pleas, Cuyahoga Cnty.",Gen AI,Attorneys,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-03,61,Judge John J. Russo,https://cp.cuyahogacounty.us/court-resources/judges/judge-john-j-russo/,Litigation Preferences: Mandatory Certification Regarding Generative Artificial Intelligence,,,,,,,,,FRCP 11,,,,,,Standing Order
Texas,"30th/78th/89th Dist. Cts., Wichita Cnty.",Any AI,"Attorneys,Pro Se Litigants",rails,Any AI Usage|Applies to AI Used for Filings/Drafting,,2024-03,62,Judge Jeff McKnight,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/1866,Standing Order Regarding Use of Artificial Intelligence,,,,,,,,,,,,,,,Standing Order
Federal,Ct. Int'l Trade,Gen AI,Any Parties,both,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2024-03,63,Judge Claire R. Kelly,https://www.cit.uscourts.gov/sites/cit/files/Order_on_Artificial_Intelligence-Judge_Kelly.pdf,Order on Artificial Intelligence,,,Yes,,,,,,,checked,checked,,,"This standing order is limited to filings drafted using generative AI. It requires that such filings be accompanied by a disclosure identifying the AI tool used and the portions of the filing drafted using GenAI. Additionally, the order requires a certification that no confidential information has been disclosed to an unauthorized party through use of GenAI tools.",Standing Order
Federal,Ct. Int'l Trade,Gen AI,Any Parties,both,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2024-03,64,Judge Jane A. Restani,https://www.cit.uscourts.gov/sites/cit/files/JAR_Order_on_Artificial_Intelligence.pdf,Order on Artificial Intelligence,,,Yes,,,,,,,checked,checked,,,"This standing order is limited to filings drafted using generative AI. It requires that such filings be accompanied by a disclosure identifying the AI tool used and the portions of the filing drafted using GenAI. Additionally, the order requires a certification that no confidential information has been disclosed to an unauthorized party through use of GenAI tools.",Standing Order
Illinois,N.D. Ill.,Any AI,Any Parties,both,Any AI Usage|Applies to AI Used for Filings/Drafting,,2024-04,65,Judge Sharon Johnson Coleman,https://www.ilnd.uscourts.gov/judge-cmp-detail.aspx?cmpid=626,Memorandum of Law Requirements,,,,,,checked,,,,,,,,"Judge Coleman has a standing order listed on the court’s website titled “Memorandum of Law Requirements” in which she prohibits any use of AI to draft memoranda or “as authority to support” a motion. This language uniquely forbids AI itself from being cited as a source, rather than the more typical practice found in other court orders which address citations created by AI. The order also does not refer to GenAI specifically and applies to any AI.",Standing Order
Illinois,"Cook Cnty. Cir. Ct., Chancery Div.",Gen AI,Any Parties,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-04,66,Judge Cecilia A. Horan,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/SO%202024%20CH%20Judge%20Horan%20Calendar%209%20Calendar%20Courtroom%20Procedures%20%28Apr.%205%202024%29.pdf?VersionId=bD2yzSkzx_owNaYWACofBcjjmOLSuHM7,Chancery - Calendar 9 - Horan - Standing Order (eff. 4.5.24): XIII. Artificial Intelligence,,,Yes,,,,,,,,,,,,Standing Order
,,Gen AI,Attorneys,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-04,67,Law Society of Ontario,https://lawsocietyontario-dwd0dscmayfwh7bj.a01.azurefd.net/media/lso/media/lawyers/practice-supports-resources/white-paper-on-licensee-use-of-generative-artificial-intelligence-en.pdf,Licensee use of generative artificial intelligence,,,,,,,,,,,,,checked,,Administrative Order
,,Gen AI,Attorneys,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-04,68,Law Society of Manitoba,https://educationcentre.lawsociety.mb.ca/wp-content/uploads/sites/2/2024/04/Generative-Artificial-Intelligence-Guidelines-for-Use-in-the-Practice-of-Law.pdf,Generative Artificial Intelligence: Guidelines for Use in the Practice of Law,,,,,,,,,,,,,checked,,Administrative Order
California,C.D. Cal.,Gen AI,Any Parties,both,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-05,69,Judge Rozella A. Oliver,https://www.cacd.uscourts.gov/honorable-rozella-oliver,Law and Motion Schedule: 14. Artificial Intelligence,,checked,Yes,,,,,,FRCP 11,,,,,"Judge Oliver’s standing orders require parties using GenAI to “generate any portion of a brief, pleading, or other filing” to submit a separate declaration disclosing the use of GenAI and certifying the review and accuracy of any AI-generated content. This language appears to be specific to the use of GenAI in drafting court filings.",Standing Order
Illinois,"Circuit Court of Cook County, Chancery Division, Mortgage Foreclosure/Mechanics Lien Section",Any AI,Any Parties,rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-05,70,Judge James A. Wright,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Chancery%20-%20Calendar%2064%20-%20Judge%20Wright%20-%20Amended%20Standing%20Order%20%28May%2031%202024%29_0.pdf?VersionId=8PBF.tc2_f6Vfc.eitTlZ_LoTUqjIS4v,Amended and Restated Standing Order,,,Yes,,,,,,,,,,,,Standing Order
Illinois,"Cook Cnty. Cir. Ct., Law Div.",Any AI,Any Parties,rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-05,71,Judge Sandra Gisela Ramos,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Law%20-%20Judge%20Ramos%20-%20Standing%20Order%20%28May%2030%2C%202024%29.pdf?VersionId=g6dVsvmsqmjK.QRGq5YLirA6QeNTNigI,Law - Judge Ramos - Standing Order,,checked,Yes,,,,,,,,,,,,Standing Order
North Carolina,W.D.N.C.,"Gen AI, excluding standard research tools","Attorneys,Pro Se Litigants",both,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-06,72,"Chief Judge Martin Reidinger; Judge Frank D. Whitney; Judge Max O. Cogburn, Jr.; Judge Kenneth D. Bell; Judge Robert J. Conrad Jr.; Judge Graham C. Mullen; Judge Richard L. Voorhees",https://www.ncwd.uscourts.gov/sites/default/files/Standing%20Order%20In%20Re-%20Use%20of%20Artificial%20Intelligence2.pdf,In Re: Use of Artificial Intelligence,Yes,,,,,checked,,,,,,,,"The Western District of North Carolina’s standing order broadly prohibits any use of “artificial intelligence” in conducting research for the preparation of court filings, except that the order explicitly allows AI that is “embedded in the standard on-line legal research sources Westlaw, Lexus, FastCase, and Bloomberg.” The order also requires certification that every statement and citation to an authority contained in any court filing has been verified for accuracy. The order is not specific to GenAI, and the exceptions to the AI prohibition only appear to apply to the four named legal research tools and none others.",Standing Order
Pennsylvania,E.D. Pa.,Gen AI,Any Parties,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-06,73,Judge Kelley B. Hodge,https://www.paed.uscourts.gov/sites/paed/files/documents/procedures/hodpol.pdf,Judicial Policies and Procedures: G. Standing Orders 3. Artificial Intellgience,,,,,,,,,"FRCP 11,FRCP 26(g)",,,,checked,,Standing Order
North Carolina,"N.C. Super. Ct., Cabarrus Cnty.",Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-07,74,Judge Martin B. McGee,https://www.ropesgray.com/en/sites/artificial-intelligence-court-order-tracker/states/north-carolina,Administrative Order In Re: Generative Artificial Intelligence And Its Use In The Superior Court Of Cabarrus County,,,,,,,,,"RPC 1.1 cmt. 8,RPC 1.6,FRCP 11,FRCP 26(g)",,,,checked,,Administrative Order
Alabama,N.D. Ala.,Gen AI,"Attorneys,Pro Se Litigants",both,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-07,75,Judge Madeline H. Haikala,https://www.alnd.uscourts.gov/sites/alnd/files/MHH%20Initial%20Order%20as%20of%207-8-24.pdf,Haikala Chambers Initial Order: XI. Use of AI to Create Court Submissions,,,,,,,,,FRCP 11,,,,checked,"The order refers to “generative artificial intelligence,” and cautions lawyers that GenAI tools “may produce factually or legally inaccurate content.” The order reminds counsel that attorneys remain responsible for reviewing and verifying “computer-generated content” to ensure it complies with the Federal Rules. There are no prohibitions, disclosure requirements, or other limitations on the use of GenAI tools.",Standing Order
Texas,Gray County Court,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-07,76,Judge Chris Porter,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/2014,Standing Order Regarding Use of Artificial Intelligence,,,,,,,,,,,,,,,Standing Order
Texas,Hudspeth County Court,Gen AI,"Attorneys,Pro Se Litigants",rails,Generative AI Usage|Applies to AI Used for Filings/Drafting,,2024-07,77,Judge Joanna E. MacKenzie,https://topics.txcourts.gov/LocalRulesPublic/PreviewAttachment/1997,Standing Order Regarding Use of Artificial Intelligence,,,,,,,,,,,,,,,Standing Order
Illinois,Hamilton County Court,Any AI,"Attorneys,Any Parties",rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2024-07,78,,https://hamiltoncountycourts.org/wp-content/uploads/2024/07/Local-Rule-49-AI.pdf,Local Rule 49 - Use of Artificial Intelligence in Court Submissions,,checked,Yes,,checked,,,,,,checked,,,,Local Rules
Pennsylvania,M.D. Pa.,Gen AI,Any Parties,rails,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification|Applies to AI Used for Research,,2024-08,79,Judge Karoline Mehalchick,https://www.pamd.uscourts.gov/content/judge-karoline-mehalchick,Use of Generative AI,,,Yes,,,,,,,checked,checked,,,,Standing Order
California,N.D. Cal.,Gen AI,Attorneys,both,Generative AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-08,80,Judge Eumi K. Lee,https://www.cand.uscourts.gov/wp-content/uploads/judges/lee-ekl/Civil-Standing-Order-8.16.2024-Website-Hyperlink-Corrected-2.pdf,Standing Order for Civil Cases Before Judge Eumi K. Lee: G. Use of Generative AI Tools,,checked,Yes,,,,checked,,,,,,,"The order requires any filings containing content created by “ChatGPT or other such generative [AI]” must include a certification that lead trial counsel has personally verified the content’s accuracy, and that counsel must personally confirm the “accuracy of any research” conducted using generative AI tools. The order warns that failure to comply with this requirement is sanctionable. Notably, the order also requires counsel to maintain records of “all prompts or inquiries submitted to any generative AI tools” in the event those records become relevant at any point.",Standing Order
Illinois,"Cook Cnty. Cir. Ct., Law Div.",Any AI,Any Parties,rails,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-08,81,Judge Jean M. Golden,https://ocj-web-files.s3.us-east-2.amazonaws.com/orders/Law%20-%20Courtroom%202309%20-%20Golden%20-%20Standing%20Order%20%28Aug%2012%2C%202024%29.pdf?VersionId=9sZ6uAI7IMiGGQPofIDu6mSR_YgtJmYr,Standing Order for Courtroom 2039,,checked,Yes,,,,,,,,,,,,Standing Order
Nevada,D. Nev.,Any AI,"Attorneys,Pro Se Litigants",both,Any AI Usage|Applies to AI Used for Filings/Drafting|Requires Disclosure and/or Verification,,2024-08,82,Magistrate Judge Maximiliano D. Couvillier III,https://www.nvd.uscourts.gov/wp-content/uploads/2026/01/Revised-Final-Standing-Order-010526-v6.pdf,Standing Order & Chambers Practices: VII. Format of Documents & Artificial Intelligence (AI),,,Yes,,,,,,FRCP 11,,,,,"Judge Couvillier issued a Standing Order requiring “counsel or pro se parties” to identify any AI used in “any brief, pleading, or other document submitted to the Court” in the filing’s “title or pleading caption.” This applies to any filing that is created or drafted using “any [AI] tool,” with a reminder from the Court that use of such tools must be consistent with “Federal Rule of Civil Procedure 11, this Standing Order, and any other applicable legal or ethical guidelines.” The Order further notes that failure to verify the accuracy or existence of AI-generated citations of law or fact is sanctionable.",Standing Order
